"SC","名称","市場","業種","日付","株価","前日比","前日比（％）","前日終値","始値","高値","安値","VWAP","出来高","出来高率","売買代金（千円）","時価総額（百万円）","値幅下限","値幅上限","高値日付","年初来高値","年初来高値乖離率","安値日付","年初来安値","年初来安値乖離率"
"1964","中外炉工業","東証PR","建設","20240126","2608","-40","-1.51","2648","2648","2668","2608","2632.22","25300","0.32","66595","20342","2148","3150","20240126","2668","2.25","20230106","1586","64.44"
"1965","テクノ菱和","東証ST","建設","20240126","1463","3","0.21","1460","1467","1467","1451","1456.88","5900","0.03","8596","33486","1160","1760","20240115","1571","6.87","20230330","859","70.31"
"1966","高田工業所","東証ST","建設","20240126","1678","-39","-2.27","1717","1715","1733","1656","1683.97","31800","0.44","53550","12117","1317","2117","20240123","1761","4.71","20230807","912","83.99"
"1967","ヤマト","東証ST","建設","20240126","962","-19","-1.94","981","981","981","953","965.52","46100","0.17","44511","25904","831","1131","20230510","1012","4.94","20230116","661","45.54"
"1968","太平電業","東証PR","建設","20240126","4230","-55","-1.28","4285","4285","4310","4225","4248.8","13800","0.07","58634","86047","3585","4985","20230622","4615","8.34","20230104","3165","33.65"
"1969","高砂熱学工業","東証PR","建設","20240126","3270","-70","-2.1","3340","3320","3325","3265","3292.31","135300","0.19","445450","229683","2640","4040","20240122","3395","3.68","20230110","1713","90.89"
"1971","中央ビルト工業","東証ST","金属製品","20240126","748","2","0.27","746","746","748","746","747.36","32400","1.36","24214","1779","596","896","20231219","755","0.93","20230118","509","46.95"
"1972","三晃金属工業","東証ST","建設","20240126","4750","-230","-4.62","4980","5010","5160","4670","4863.07","243800","6.16","1185616","18810","4280","5680","20240126","5160","7.95","20230105","3025","57.02"
"1973","NECネッツエスアイ","東証PR","情報通信","20240126","2252","-11","-0.49","2263","2255","2269","2245","2253.81","290900","0.19","655633","336272","1763","2763","20240116","2406","6.4","20230316","1551","45.2"
"1975","朝日工業社","東証PR","建設","20240126","2980","-10","-0.33","2990","2985","2995","2965","2977.16","14200","0.1","42276","40528","2490","3490","20240115","3130","4.79","20230106","1900","56.84"
"1976","明星工業","東証PR","建設","20240126","1167","-3","-0.26","1170","1162","1179","1156","1170.29","144200","0.26","168756","65803","870","1470","20240122","1184","1.44","20230324","752","55.19"
"1979","大氣社","東証PR","建設","20240126","4270","10","0.23","4260","4275","4290","4250","4273.95","68900","0.21","294476","143395","3560","4960","20230907","4825","11.5","20230105","3255","31.18"
"1980","ダイダン","東証PR","建設","20240126","1626","-46","-2.75","1672","1660","1662","1619","1630.65","187200","0.41","305258","74737","1272","2072","20240125","1678","3.1","20230106","1052","54.56"
"1981","協和日成","東証ST","建設","20240126","1270","3","0.24","1267","1270","1270","1270","1270","300","0","381","14986","967","1567","20230310","1559","18.54","20240109","1250","1.6"
"1982","日比谷総合設備","東証PR","建設","20240126","2517","-70","-2.71","2587","2559","2559","2513","2530.36","25500","0.11","64524","59795","2087","3090","20240116","2663","5.48","20230116","1876","34.17"
"1992","神田通信機","東証ST","建設","20240126","2220","-55","-2.42","2275","2275","2275","2220","2261.67","900","0.03","2036","5824","1775","2775","20240122","2305","3.69","20230206","1390","59.71"
"1994","高橋カーテンウォール工業","東証ST","建設","20240126","509","-3","-0.59","512","513","513","508","510.68","2200","0.02","1124","4862","412","612","20230530","546","6.78","20230316","461","10.41"
"1997","暁飯島工業","東証ST","建設","20240126","1586","16","1.02","1570","1570","1586","1570","1576.33","600","0.03","946","3489","1170","1970","20240126","1586","0","20230612","1298","22.19"
"2001","ニップン","東証PR","食料品","20240126","2219","-10","-0.45","2229","2229","2230","2210","2220.4","147300","0.19","327065","174910","1729","2729","20231207","2364","6.13","20230116","1568","41.52"
"2002","日清製粉グループ本社","東証PR","食料品","20240126","2070","7","0.34","2063","2067","2075.5","2042","2065.54","1289300","0.42","2663105","630021","1563","2563","20231101","2338","11.46","20230307","1529","35.38"
"2003","日東富士製粉","東証ST","食料品","20240126","5060","-30","-0.59","5090","5100","5130","5000","5066.02","9300","0.1","47114","47487","4090","6090","20240126","5130","1.36","20230113","4215","20.05"
"2004","昭和産業","東証PR","食料品","20240126","3305","0","0","3305","3290","3315","3270","3298.22","45800","0.13","151059","112322","2605","4005","20240126","3315","0.3","20230110","2412","37.02"
"2009","鳥越製粉","東証ST","食料品","20240126","693","1","0.14","692","697","697","688","692.55","122800","0.47","85045","18043","592","792","20231101","737","5.97","20230116","568","22.01"
"2053","中部飼料","東証PR","食料品","20240126","1115","-2","-0.18","1117","1117","1124","1111","1118.03","63800","0.21","71331","33865","817","1417","20230920","1169","4.62","20230331","1010","10.4"
"2055","日和産業","東証ST","食料品","20240126","280","-2","-0.71","282","278","281","278","279.03","21000","0.1","5860","5833","202","362","20230920","292","4.11","20230330","235","19.15"
"2060","フィード・ワン","東証PR","食料品","20240126","833","3","0.36","830","835","845","831","837.86","80400","0.21","67364","32051","680","980","20240116","861","3.25","20230323","659","26.4"
"2107","東洋精糖","東証ST","食料品","20240126","2250","-77","-3.31","2327","2320","2324","2250","2277.17","64500","1.18","146878","12276","1827","2827","20240125","2328","3.35","20230112","845","166.27"
"2108","日本甜菜製糖","東証PR","食料品","20240126","2156","-8","-0.37","2164","2165","2180","2151","2162.42","35200","0.23","76117","33042","1664","2664","20240126","2180","1.1","20230113","1616","33.42"
"2109","DM三井製糖ホールディングス","東証PR","食料品","20240126","3170","-30","-0.94","3200","3205","3210","3160","3178.22","54800","0.17","174167","103468","2500","3900","20230926","3270","3.06","20230106","1949","62.65"
"2112","塩水港精糖","東証ST","食料品","20240126","318","-5","-1.55","323","331","335","316","326.4","3877700","11.08","1265681","11130","243","403","20240126","335","5.07","20230202","190","67.37"
"2114","フジ日本精糖","東証ST","食料品","20240126","1062","-30","-2.75","1092","1087","1087","1055","1064.98","36400","0.12","38765","31593","792","1392","20230823","1296","18.06","20230508","487","118.07"
